"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
2,500000,4,0,3,2,1299,352452642,1299,405929515,1299,352530454,1299,404529813
2,500000,4,0,3,3,1299,352452642,1299,405929515,1299,352574179,1299,405917152
2,500000,4,1,1,0,1299,507631601,1299,562139583,1299,507695652,1299,562055904
2,500000,4,1,1,1,1299,507631601,1299,562139583,1299,507704803,1299,562102703
2,500000,4,1,1,2,1299,507631601,1299,562139583,1299,507718214,1299,557382873
2,500000,4,1,1,3,1299,507631601,1299,562139583,1299,509672236,1299,558747092
2,500000,4,1,2,0,1299,646222425,1299,694745824,1299,646284940,1299,692694292
2,500000,4,1,2,1,1299,646222425,1299,694745824,1299,646294858,1299,693991595
2,500000,4,1,2,2,1299,646222425,1299,694745824,1299,646307641,1299,686277902
2,500000,4,1,2,3,1299,646222425,1299,694745824,1299,656016986,1299,694710899
2,500000,4,1,3,0,1299,773430394,1299,828211276,1299,773495982,1299,828170554
2,500000,4,1,3,1,1299,773430394,1299,828211276,1299,773504783,1299,828098539
2,500000,4,1,3,2,1299,773430394,1299,828211276,1299,773518264,1299,820345103
2,500000,4,1,3,3,1299,773430394,1299,828211276,1299,776030868,1299,827914767
2,500000,4,2,1,0,1299,919489741,1299,997714566,1299,919555120,1299,995585083
2,500000,4,2,1,1,1299,919489741,1299,997714566,1299,919563642,1299,995279983
2,500000,4,2,1,2,1299,919489741,1299,997714566,1299,919577192,1299,996886857
2,500000,4,2,1,3,1299,919489741,1299,997714566,1299,919629998,1299,997677546
2,500000,4,2,2,0,1300,78247269,1300,156375632,1300,78310691,1300,155735816
2,500000,4,2,2,1,1300,78247269,1300,156375632,1300,78319911,1300,154611319
2,500000,4,2,2,2,1300,78247269,1300,156375632,1300,78333183,1300,156342943
2,500000,4,2,2,3,1300,78247269,1300,156375632,1300,78354696,1300,154283169
2,500000,4,2,3,0,1300,233091838,1300,310212119,1300,233156448,1300,310047974
2,500000,4,2,3,1,1300,233091838,1300,310212119,1300,233166437,1300,309228926
2,500000,4,2,3,2,1300,233091838,1300,310212119,1300,233179568,1300,308941847
2,500000,4,2,3,3,1300,233091838,1300,310212119,1300,233183829,1300,310185995
2,500000,5,0,1,0,1300,406507242,1300,464222947,1300,406569478,1300,462208995
2,500000,5,0,1,1,1300,406507242,1300,464222947,1300,406578907,1300,463529278
2,500000,5,0,1,2,1300,406507242,1300,464222947,1300,406592388,1300,463220616
2,500000,5,0,1,3,1300,406507242,1300,464222947,1300,406614460,1300,464154495
2,500000,5,0,1,4,1300,406507242,1300,464222947,1300,406644984,1300,464183622
2,500000,5,0,2,0,1300,547942969,1300,605477486,1300,548036496,1300,605419371
2,500000,5,0,2,1,1300,547942969,1300,605477486,1300,548023574,1300,605255576
2,500000,5,0,2,2,1300,547942969,1300,605477486,1300,548022457,1300,604872944
2,500000,5,0,2,3,1300,547942969,1300,605477486,1300,548074145,1300,604342162
2,500000,5,0,2,4,1300,547942969,1300,605477486,1300,548045646,1300,605450524
2,500000,5,0,3,0,1300,689848429,1300,747223341,1300,689911293,1300,745796957
2,500000,5,0,3,1,1300,689848429,1300,747223341,1300,689920303,1300,746926064
2,500000,5,0,3,2,1300,689848429,1300,747223341,1300,689933854,1300,746934586
2,500000,5,0,3,3,1300,689848429,1300,747223341,1300,689978417,1300,747189674
2,500000,5,0,3,4,1300,689848429,1300,747223341,1300,689980932,1300,747148882
2,500000,5,1,1,0,1300,844832741,1300,897624589,1300,844895814,1300,890094950
2,500000,5,1,1,1,1300,844832741,1300,897624589,1300,844903987,1300,892408275
2,500000,5,1,1,2,1300,844832741,1300,897624589,1300,844917398,1300,882682448
2,500000,5,1,1,3,1300,844832741,1300,897624589,1300,848031959,1300,897166870
2,500000,5,1,1,4,1300,844832741,1300,897624589,1300,864037130,1300,897575416
2,500000,5,1,2,0,1300,979121740,1301,33599880,1300,979185093,1301,29465455
2,500000,5,1,2,1,1300,979121740,1301,33599880,1300,979194313,1301,27192293
2,500000,5,1,2,2,1300,979121740,1301,33599880,1300,979207445,1301,16823927
2,500000,5,1,2,3,1300,979121740,1301,33599880,1300,984036237,1301,33528215
2,500000,5,1,2,4,1300,979121740,1301,33599880,1300,988017204,1301,33569705
2,500000,5,1,3,0,1301,116464322,1301,168520729,1301,116527605,1301,158696208
2,500000,5,1,3,1,1301,116464322,1301,168520729,1301,116665627,1301,168384943
2,500000,5,1,3,2,1301,116464322,1301,168520729,1301,116546255,1301,158395579
2,500000,5,1,3,3,1301,116464322,1301,168520729,1301,124020643,1301,167511693
2,500000,5,1,3,4,1301,116464322,1301,168520729,1301,124033007,1301,168472394
2,500000,5,2,1,0,1301,265874732,1301,348057913,1301,265936338,1301,347947412
2,500000,5,2,1,1,1301,265874732,1301,348057913,1301,265945838,1301,347149110
2,500000,5,2,1,2,1301,265874732,1301,348057913,1301,265959109,1301,347622406
2,500000,5,2,1,3,1301,265874732,1301,348057913,1301,266052637,1301,348022570
2,500000,5,2,1,4,1301,265874732,1301,348057913,1301,266064371,1301,346357862
2,500000,5,2,2,0,1301,431090247,1301,513892219,1301,431154857,1301,513310029
2,500000,5,2,2,1,1301,431090247,1301,513892219,1301,431163868,1301,513863302
2,500000,5,2,2,2,1301,431090247,1301,513892219,1301,431176999,1301,513797644
2,500000,5,2,2,3,1301,431090247,1301,513892219,1301,431195160,1301,510797915
2,500000,5,2,2,4,1301,431090247,1301,513892219,1301,431208711,1301,513443161
2,500000,5,2,3,0,1301,598242741,1301,681246646,1301,598304487,1301,679560914
2,500000,5,2,3,1,1301,598242741,1301,681246646,1301,598313847,1301,680979823
2,500000,5,2,3,2,1301,598242741,1301,681246646,1301,598327258,1301,681182106
2,500000,5,2,3,3,1301,598242741,1301,681246646,1301,598343742,1301,681212001
2,500000,5,2,3,4,1301,598242741,1301,681246646,1301,598359318,1301,680540125
2,500000,6,0,1,0,1301,780432924,1301,840853089,1301,780493972,1301,840743775
2,500000,6,0,1,1,1301,780432924,1301,840853089,1301,780503401,1301,840646336
2,500000,6,0,1,2,1301,780432924,1301,840853089,1301,780516673,1301,840776884
2,500000,6,0,1,3,1301,780432924,1301,840853089,1301,780521143,1301,840816209
2,500000,6,0,1,4,1301,780432924,1301,840853089,1301,780532319,1301,833881615
2,500000,6,0,1,5,1301,780432924,1301,840853089,1301,780602447,1301,840552599
2,500000,6,0,2,0,1301,928634726,1301,988514330,1301,928696472,1301,986325267
